tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
tt1027718,Wall Street: Money Never Sleeps,2010,133.0,['Drama'],70000000.0,134748021.0,PG-13,9.0
tt1027820,The Incident,2011,85.0,"['Horror', 'Thriller']",500000.0,98201.0,Unrated,5.0
tt1028576,Secretariat,2010,123.0,"['Biography', 'Drama', 'Family']",35000000.0,60321861.0,PG,10.0
tt1029360,Poltergeist,2015,93.0,"['Horror', 'Thriller']",35000000.0,95437994.0,PG-13,5.0
tt1032751,The Warrior's Way,2010,100.0,"['Action', 'Fantasy', 'Western']",42000000.0,11103434.0,R,12.0
tt1033575,The Descendants,2011,115.0,"['Comedy', 'Drama']",20000000.0,177243185.0,R,12.0
tt1034293,Somewhere Tonight,2011,85.0,"['Comedy', 'Drama', 'Romance']",,8139.0,Unrated,9.0
tt1037222,Robosapien: Rebooted,2013,86.0,"['Adventure', 'Drama', 'Family']",,290502.0,PG,5.0
tt1037705,The Book of Eli,2010,118.0,"['Action', 'Adventure', 'Drama']",80000000.0,157107755.0,R,1.0
tt1038686,Legion,2010,100.0,"['Action', 'Fantasy', 'Horror']",26000000.0,67918658.0,R,1.0
tt1038919,The Bounty Hunter,2010,110.0,"['Action', 'Comedy', 'Romance']",40000000.0,136333522.0,PG-13,3.0
tt1043726,The Legend of Hercules,2014,99.0,"['Action', 'Adventure', 'Fantasy']",70000000.0,61279452.0,PG-13,1.0
tt1045658,Silver Linings Playbook,2012,122.0,"['Comedy', 'Drama', 'Romance']",21000000.0,236412453.0,R,9.0
tt1046171,You and I,2011,100.0,"['Drama', 'Romance']",12000000.0,909438.0,R,1.0
tt1047540,Parental Guidance,2012,105.0,"['Comedy', 'Family']",25000000.0,119772232.0,PG,12.0
tt1049402,Howl,2010,84.0,"['Biography', 'Drama', 'Romance']",5000000.0,1614810.0,R,1.0
tt1051904,Goosebumps,2015,103.0,"['Adventure', 'Comedy', 'Family']",58000000.0,158261424.0,PG,10.0
tt1053424,Repo Men,2010,111.0,"['Action', 'Crime', 'Sci-Fi']",32000000.0,18409891.0,R,3.0
tt1053810,The Big Year,2011,100.0,['Comedy'],41000000.0,8179416.0,PG,10.0
tt1055292,Life as We Know It,2010,114.0,"['Comedy', 'Drama', 'Romance']",38000000.0,105734416.0,PG-13,10.0
tt1059317,Sophomore,2012,98.0,['Comedy'],,18945.0,Unrated,1.0
tt1059836,Transit,2012,88.0,"['Action', 'Crime', 'Thriller']",5000000.0,663432.0,R,4.0
tt1065073,Boyhood,2014,165.0,['Drama'],4000000.0,48137666.0,R,8.0
tt1067583,Water for Elephants,2011,120.0,"['Drama', 'Romance']",38000000.0,117094902.0,PG-13,4.0
tt1067765,Adult World,2013,97.0,"['Comedy', 'Drama']",4000000.0,37887.0,R,2.0
tt1068242,Footloose,2011,113.0,"['Comedy', 'Drama', 'Music']",24000000.0,63543328.0,PG-13,10.0
tt1068961,Midnight Son,2011,88.0,['Horror'],3250000.0,973.0,Unrated,3.0
