,tconst,primary_title,original_title,start_year,runtime_minutes,genres,country,budget,ww_gross,ww_currency,domestic_gross_x,domestic_currency,int_gross,int_currency,release_date_x,mpaa_rating,tmdb_id
54,tt0800054,The Guardians,The Guardians,2010,88.0,"Comedy,Family",US,,,,177000.0,,,,2010,PG,
55,tt0800092,Ironmen,Ironmen,2010,119.0,"Biography,Drama",US,"{'amount': 12000000.0, 'currency': 'USD'}",,,,,,,2010,,
56,tt0800320,Clash of the Titans,Clash of the Titans,2010,106.0,"Action,Adventure,Fantasy",US,"{'amount': 125000000, 'currency': 'USD'}",493214993.0,USD,163214888.0,USD,330000105.0,USD,2010-04-02,PG-13,
57,tt0804483,Folk!,Folk!,2010,,Documentary,US,,,,,,,,2010-11,,
58,tt0804497,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",US,"{'amount': 8000000, 'currency': 'USD'}",6491240.0,USD,6363628.0,USD,127612.0,USD,2010-10-08,PG-13,
59,tt0808245,A Letter to Elia,A Letter to Elia,2010,60.0,Documentary,US,,,,,,,,2010-10-04,Not Rated,65673.0
60,tt0808510,Tooth Fairy,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",US,"{'amount': 48000000, 'currency': 'USD'}",112462508.0,USD,60022256.0,USD,52440252.0,USD,2010-01-22,PG,
61,tt0810815,Cross the Line,Cross the Line,2010,87.0,Action,US,"{'amount': 1500000.0, 'currency': 'USD'}",,,,,,,2010-11-23,Not Rated,325593.0
62,tt0813992,American Flyer,American Flyer,2010,100.0,Adventure,US,"{'amount': 2000000.0, 'currency': 'USD'}",,,,,,,2011-07-05,,69385.0
63,tt0815101,Ashes,Ashes,2010,77.0,Drama,US,"{'amount': 1000.0, 'currency': 'USD'}",,,,,,,2010-10-02,,257014.0
64,tt0815236,She's Out of My League,She's Out of My League,2010,104.0,"Comedy,Romance",US,"{'amount': 20000000, 'currency': 'USD'}",49779728.0,USD,32010860.0,USD,17768868.0,USD,2010-03-12,R,
65,tt0816362,Card Subject to Change,Card Subject to Change,2010,87.0,Documentary,US,"{'amount': 30000.0, 'currency': 'USD'}",,,,,,,2010-02-13,Not Rated,93498.0
66,tt0817177,Flipped,Flipped,2010,90.0,"Comedy,Drama,Romance",US,"{'amount': 14000000, 'currency': 'USD'}",4324817.0,USD,1755212.0,USD,2569605.0,USD,2010-09-10,PG,
67,tt0817230,Valentine's Day,Valentine's Day,2010,125.0,"Comedy,Romance",US,"{'amount': 52000000, 'currency': 'USD'}",216485654.0,USD,110485654.0,USD,106000000.0,USD,2010-02-12,PG-13,
68,tt0818098,Dreamkiller,Dreamkiller,2010,110.0,Thriller,US,"{'amount': 2500000.0, 'currency': 'USD'}",15514.0,USD,15514.0,USD,,,2010-02-19,R,
69,tt0818172,Soupernatural,Soupernatural,2010,,Drama,US,"{'amount': 7000000.0, 'currency': 'USD'}",,,,,,,2010,,
70,tt0826532,Return to Yucca Flats: Desert Man-Beast,Return to Yucca Flats: Desert Man-Beast,2010,79.0,"Comedy,Horror",US,5.0,,,,,,,2010-01-18,Not Rated,772288.0
71,tt0826823,Magic,Magic,2010,,"Adventure,Family",US,"{'amount': 10000.0, 'currency': 'EUR'}",37122.0,USD,,,37122.0,USD,2010,,
72,tt0831280,Waking Madison,Waking Madison,2010,89.0,Drama,US,"{'amount': 3500000.0, 'currency': 'USD'}",,,,,,,2010,R,68174.0
73,tt0840358,Everyday Sunshine: The Story of Fishbone,Everyday Sunshine: The Story of Fishbone,2010,107.0,"Documentary,Music",US,,,,,,,,2010-06,Not Rated,82676.0
74,tt0840361,The Town,The Town,2010,125.0,"Crime,Drama,Thriller",US,"{'amount': 37000000, 'currency': 'USD'}",154026136.0,USD,92186262.0,USD,61839874.0,USD,2010-09-17,R,
75,tt0842926,The Kids Are All Right,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",US,"{'amount': 4000000, 'currency': 'USD'}",34758951.0,USD,20811365.0,USD,13947586.0,USD,2010-07-30,R,
76,tt0844866,Killer by Nature,Killer by Nature,2010,94.0,"Adventure,Crime,Drama",US,,,,,,,,2010,Not Rated,60940.0
77,tt0847215,Neowolf,Neowolf,2010,88.0,"Horror,Thriller",US,,,,,,,,2010-04-20,R,5489.0
78,tt0853002,A Summer Song,A Summer Song,2010,,Drama,US,"{'amount': 250000.0, 'currency': 'USD'}",,,,,,,2012,,
79,tt0858411,2001 Maniacs: Field of Screams,2001 Maniacs: Field of Screams,2010,84.0,"Comedy,Horror",US,500000.0,,,,,,,2010-04-29,R,40912.0
80,tt0859612,The Golden Greek: The Harry Agganis Story,The Golden Greek: The Harry Agganis Story,2010,,Documentary,US,"{'amount': 500000.0, 'currency': 'USD'}",,,,,,,2010,,
81,tt0870208,Touch Wood,Touch Wood,2010,,Comedy,US,,,,,,,,,,
82,tt0871893,"Surprise, Surprise","Surprise, Surprise",2010,83.0,Drama,US,"{'amount': 200000.0, 'currency': 'USD'}",,,,,,,2010-08-31,Not Rated,87565.0
83,tt0872230,My Soul to Take,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",US,"{'amount': 25000000, 'currency': 'USD'}",21500813.0,USD,14744435.0,USD,6756378.0,USD,2010-10-08,R,
84,tt0874421,Beijing Taxi,Beijing Taxi,2010,78.0,Documentary,US,,,,,,,,2011-06-25,Not Rated,101124.0
85,tt0875702,Bury the Hatchet,Bury the Hatchet,2010,120.0,Documentary,US,,,,,,,,2010,,230257.0
86,tt0878654,Bulletface,Bulletface,2010,82.0,Thriller,US,,,,,,,,2010-01-26,R,37503.0
87,tt0878672,First Circle,First Circle,2010,72.0,Documentary,US,,,,,,,,2010,Not Rated,127515.0
88,tt0878835,Please Give,Please Give,2010,87.0,"Comedy,Drama",US,"{'amount': 3000000, 'currency': 'USD'}",4313829.0,USD,4033574.0,USD,280255.0,USD,2010-06-18,R,
