,tconst,mpaa_rating,release_date
431,tt1303803,PG,2010-07-16
432,tt1305583,PG-13,2010-03-12
433,tt1305587,R,2010-10-08
434,tt1305591,PG,2011-03-11
435,tt1306980,R,2011-09-30
436,tt1307068,R,2012-06-22
437,tt1307858,,2014-06-25
438,tt1307861,Not Rated,2010-03-13
439,tt1307873,R,2010-11-03
440,tt1307926,PG-13,2011-05-13
441,tt1308165,Not Rated,2010-10-22
442,tt1308728,R,2018-08-24
443,tt1308729,R,2013-02-01
444,tt1308756,R,2013-03-08
445,tt1311060,R,2013-01-23
446,tt1311071,R,2013-01-18
447,tt1312254,PG-13,2011-05-13
448,tt1313139,R,2012-10-05
449,tt1314190,R,2010
450,tt1314655,PG-13,2010-09-17
451,tt1315350,R,2010-03-12
452,tt1316622,R,2011-04-01
453,tt1318514,PG-13,2011-08-05
454,tt1319722,R,2011-07-22
455,tt1319744,Unrated,2011-01-21
456,tt1320103,R,2013-09-27
457,tt1320253,R,2010-08-13
458,tt1320261,PG,2010-12-25
459,tt1321509,R,2010-04-16
460,tt1321511,R,2013-11-27
461,tt1321860,PG-13,2011-03-16
462,tt1321870,R,2013-01-11
463,tt1322264,R,2010-01-24
464,tt1322269,R,2014-01-10
465,tt1322312,R,2010-09-03
466,tt1322362,Not Rated,2013-11-15
467,tt1322384,TV-MA,2010-05-14
468,tt1322393,PG-13,2015-07-01
469,tt1323045,R,2010-01-24
470,tt1323594,PG,2010-07-09
471,tt1323973,Not Rated,2014-04-05
472,tt1324999,PG-13,2011-11-18
473,tt1325004,PG-13,2010-06-30
474,tt1325723,R,2011-03-16
475,tt1327194,PG-13,2012-04-20
476,tt1327709,Not Rated,2010-08
477,tt1327773,PG-13,2013-08-16
478,tt1328913,PG-13,2010-01-29
479,tt1330018,PG-13,2016-04-14
480,tt1330229,,2010-03-27
481,tt1333125,R,2013-01-25
482,tt1334512,PG-13,2011-04-08
483,tt1334553,R,2010-01
484,tt1335975,PG-13,2013-12-25
485,tt1336106,Not Rated,
486,tt1336608,PG-13,2012-06-15
487,tt1336617,R,2010-07-16
488,tt1339191,,2011-01-22
489,tt1340138,PG-13,2015-07-01
490,tt1340773,R,2010-03-14
491,tt1341188,PG-13,2010-12-17
492,tt1341341,R,2010-10-08
493,tt1341795,Not Rated,2010-03-15
494,tt1343110,R,2010-06-04
495,tt1349451,R,2011-09-04
496,tt1349485,Not Rated,2013-10-27
497,tt1350510,Not Rated,2011-12-15
498,tt1351133,PG,2010-01
499,tt1354687,Not Rated,2011-01-25
500,tt1355630,PG-13,2014-08-22
501,tt1355644,PG-13,2016-12-21
502,tt1355683,R,2015-09-18
503,tt1356763,PG,2010-10-21
504,tt1356790,Not Rated,2014-04-01
505,tt1356864,R,2010-09-10
506,tt1361318,R,2014-09-26
507,tt1362518,Unrated,2013-04-19
508,tt1363468,,2011-02-01
509,tt1365050,TV-MA,2015-10-16
510,tt1365483,PG,2010-10-21
511,tt1366338,PG-13,2016-06-01
512,tt1366344,R,2011-12-09
513,tt1366365,PG-13,2012-09-07
514,tt1368440,R,2012-09-07
515,tt1369706,R,2011-07-08
516,tt1371081,PG-13,2012-10-26
517,tt1371111,R,2012-10-26
518,tt1371150,R,2014-09-19
519,tt1373406,PG,2010-04-24
520,tt1374989,PG-13,2016-02-05
521,tt1375666,PG-13,2010-07-16
522,tt1375670,PG-13,2010-06-25
523,tt1376233,Not Rated,2011-11-18
524,tt1380279,PG,2011-08-31
525,tt1381404,R,2013-04-26
526,tt1381505,PG-13,2011-10-14
527,tt1385826,PG-13,2011-03-04
528,tt1385867,R,2010-02-26
529,tt1385956,Not Rated,2013-09-29
530,tt1386588,PG-13,2010-08-06
531,tt1386697,PG-13,2016-08-05
532,tt1386703,PG-13,2012-08-03
533,tt1389072,R,2017-12-22
534,tt1389096,R,2013-02-01
535,tt1389098,Unrated,2018-04-22
536,tt1389127,R,2011-10-14
537,tt1389137,PG,2011-12-23
538,tt1389139,PG-13,2016-09-09
539,tt1390398,PG-13,2012-09-17
540,tt1390411,PG-13,2015-12-11
541,tt1390535,R,2010-01-29
542,tt1391034,R,2010-12-17
543,tt1391092,Not Rated,2010-10-08
544,tt1391137,PG-13,2010-04-02
545,tt1392170,PG-13,2012-03-23
546,tt1392197,PG,2010-06-04
547,tt1392214,R,2013-09-20
548,tt1393742,PG-13,2011-04
549,tt1394211,Not Rated,2010-03-14
550,tt1396218,PG,2011-06-17
551,tt1396221,R,2011-05-06
552,tt1396484,R,2017-09-08
553,tt1397514,PG,2012-02-10
554,tt1398426,R,2015-08-14
555,tt1398949,Unrated,2011-04-06
556,tt1399103,PG-13,2011-06-29
557,tt1399683,R,2010-07-16
558,tt1401621,PG,2017-09-01
559,tt1403177,R,2010-01-22
560,tt1403862,PG-13,2014-02-07
561,tt1403865,PG-13,2010-12-22
562,tt1403981,PG-13,2010-03-12
563,tt1403988,PG-13,2010-01-24
564,tt1405365,R,2012-01-20
565,tt1405426,,2010-04-09
566,tt1405500,R,2010-11-05
567,tt1407055,Unrated,2010-04-24
568,tt1407061,PG,2010-05-14
569,tt1407084,R,2010-08-06
570,tt1407927,PG,2010-02-10
571,tt1408101,PG-13,2013-05-16
572,tt1408253,PG-13,2014-01-17
573,tt1409024,PG-13,2012-05-25
574,tt1411238,R,2011-01-21
575,tt1411664,R,2011-09-09
576,tt1411697,R,2011-05-26
577,tt1411704,PG,2011-04-01
578,tt1411956,PG-13,2014-03-07
579,tt1412528,PG-13,2017-03-03
580,tt1413492,R,2018-01-19
581,tt1413493,Not Rated,2011-03-11
582,tt1413495,PG-13,2013-08-16
583,tt1413496,PG-13,2011-04-22
584,tt1414382,PG,2010-09-24
585,tt1415269,R,2010-04-17
586,tt1416801,R,2011-03-11
587,tt1417592,Not Rated,2011-10-21
588,tt1418377,PG-13,2014-01-24
589,tt1418702,Not Rated,2011-04-22
590,tt1421048,R,2011-05-20
591,tt1421051,R,2011-01-21
592,tt1422786,Not Rated,2010-04
593,tt1423593,Not Rated,2010
594,tt1423995,R,2010-10-22
595,tt1424381,R,2010-07-09
596,tt1425922,PG,2013-11-27
597,tt1426320,Not Rated,2010-06-11
598,tt1426329,R,2013-01-22
599,tt1426386,Not Rated,2010-06
600,tt1428538,R,2013-01-25
601,tt1430132,PG-13,2013-07-26
602,tt1430615,PG,2012-02-03
603,tt1431045,R,2016-02-12
604,tt1433099,Not Rated,2010-03-26
605,tt1433108,R,2010-11-24
606,tt1433207,R,2011-01
607,tt1433811,R,2013-07-05
608,tt1433822,PG-13,2012-08-24
609,tt1434435,R,2010-09-23
610,tt1436559,PG-13,2011-06-03
611,tt1436562,PG,2011-04-15
612,tt1436568,R,2011-07-29
613,tt1438176,R,2011-08-19
614,tt1439558,Unrated,2016-09-02
615,tt1440129,PG-13,2012-05-18
616,tt1440161,PG-13,2012-05-04
617,tt1440379,R,2012-05-18
618,tt1440728,R,2010-09-01
619,tt1441326,R,2011-01-21
620,tt1445208,PG,2015-12-04
621,tt1446072,R,2011-02-15
622,tt1446147,R,2011-04-01
623,tt1446192,PG,2012-11-21
624,tt1446714,R,2012-06-08
625,tt1449283,G,2011-07-15
626,tt1449379,R,2010-07-13
627,tt1450328,PG-13,2010-09-17
628,tt1450330,R,2012-01-06
629,tt1452599,R,2011-10-28
630,tt1452628,R,2011-01-07
631,tt1453405,G,2013-06-21
632,tt1454029,PG-13,2011-08-10
633,tt1455256,Not Rated,2010-04
634,tt1456635,R,2012-02-24
635,tt1457765,R,2013-02-01
636,tt1457767,R,2013-07-19
637,tt1458169,R,2017-08-04
638,tt1458175,PG-13,2010-11-19
639,tt1460646,Not Rated,2015-10-30
640,tt1461219,Unrated,2012-04-15
641,tt1462041,PG-13,2011-09-30
642,tt1462054,PG,2010-04-09
643,tt1462411,R,2013-11-01
644,tt1462769,PG,2012-08-15
645,tt1462901,R,2013-09-10
646,tt1464174,PG-13,2011-02-18
647,tt1464191,R,2014-05-02
648,tt1464540,PG-13,2011-02-18
649,tt1464580,R,2010-10-01
650,tt1466054,Unrated,2012-05-03
651,tt1466072,Not Rated,2010-01-22
652,tt1468387,PG,2010-03-28
653,tt1468705,PG,2011-05
654,tt1468846,R,2016-03-25
655,tt1470020,PG-13,2010-04-17
656,tt1470023,R,2010-05-21
657,tt1470846,Not Rated,2011-10-22
658,tt1473397,R,2011-07-15
659,tt1473832,R,2016-09-16
660,tt1474889,R,2010-09-17
661,tt1477834,PG-13,2018-12-21
662,tt1477837,R,2011-03-18
663,tt1478338,R,2011-05-13
