,tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
1734,tt2157103,Blackhats,2015,104.0,"Action,Drama,Thriller","{'amount': 100000.0, 'currency': 'USD'}",3216.0,,10.0
1735,tt2158531,Holla II,2013,90.0,"Comedy,Horror","{'amount': 1000000.0, 'currency': 'USD'}",41537.0,R,4.0
1736,tt2160105,I Still See You,2018,98.0,"Fantasy,Thriller",,1620637.0,PG-13,10.0
1737,tt2164862,Wagner's Dream,2012,115.0,Documentary,,9519.0,,7.0
1738,tt2165765,Fear Clinic,2014,95.0,Horror,"{'amount': 1000000.0, 'currency': 'USD'}",106974.0,R,10.0
1739,tt2166934,My Man Is a Loser,2014,95.0,Comedy,,38429.0,R,7.0
1740,tt2167056,When Comedy Went to School,2013,83.0,"Comedy,Documentary",,369065.0,NR,6.0
1741,tt2167202,Getaway,2013,90.0,"Action,Crime,Thriller","{'amount': 18000000, 'currency': 'USD'}",11806432.0,PG-13,8.0
1742,tt2170242,Yellow Day,2015,98.0,"Drama,Family,Fantasy",,173819.0,PG,12.0
1743,tt2170299,Bad Words,2013,89.0,"Comedy,Drama","{'amount': 10000000.0, 'currency': 'USD'}",7804337.0,R,3.0
1744,tt2170427,Good Kids,2016,86.0,"Comedy,Drama","{'amount': 3000000.0, 'currency': 'USD'}",23627.0,R,10.0
1745,tt2170439,Horrible Bosses 2,2014,108.0,"Comedy,Crime","{'amount': 42000000, 'currency': 'USD'}",107645357.0,R,11.0
1746,tt2170593,St. Vincent,2014,102.0,"Comedy,Drama","{'amount': 13000000.0, 'currency': 'USD'}",54837234.0,PG-13,10.0
1747,tt2171867,Empire State,2013,94.0,"Crime,Thriller","{'amount': 11000000.0, 'currency': 'USD'}",1212500.0,R,3.0
1748,tt2171902,Happy Valley,2014,98.0,"Documentary,Drama,Sport",,23868.0,Not Rated,11.0
1749,tt2172934,3 Days to Kill,2014,117.0,"Action,Drama,Thriller","{'amount': 28000000, 'currency': 'USD'}",53260230.0,PG-13,2.0
1750,tt2172935,Metallica Through the Never,2013,93.0,Music,"{'amount': 18000000, 'currency': 'USD'}",7975812.0,R,10.0
1751,tt2173248,Blood Ransom,2014,101.0,"Fantasy,Romance,Thriller",,220388.0,TV-MA,10.0
1752,tt2174896,To Be Takei,2014,94.0,"Biography,Documentary",,52823.0,Not Rated,8.0
1753,tt2176228,As It Is in Heaven,2014,86.0,Drama,"{'amount': 16000.0, 'currency': 'USD'}",10850.0,Not Rated,7.0
1754,tt2177771,The Monuments Men,2014,118.0,"Comedy,Drama,History","{'amount': 70000000, 'currency': 'USD'}",156706638.0,PG-13,2.0
1755,tt2179116,The Kings of Summer,2013,95.0,"Adventure,Comedy,Drama",,1501595.0,R,1.0
1756,tt2179136,American Sniper,2014,133.0,"Action,Biography,Drama","{'amount': 58800000, 'currency': 'USD'}",547426372.0,R,1.0
1757,tt2179171,Calling All Earthlings,2018,74.0,"Documentary,History,Sci-Fi",,6756.0,,8.0
1758,tt2180411,Into the Woods,2014,125.0,"Adventure,Comedy,Drama","{'amount': 50000000, 'currency': 'USD'}",212902372.0,PG,12.0
